subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.8574608e+12,5.492609e+06,4.5454387e+11,6.255543e+13,569.3855,357.84006,0.005855752,0.017912256,0.7047316,22964.826,38.88891,418.8722,344.09277,4887.1323,18276.992,13016.478,43.64243,22.11665,36.480415
1,0,0,0,1.730313e+09,0.0,7.938426e+10,9.180285e+11,251.16899,128.43965,0.0,0.023252105,0.0,340.31778,5.159986,45.50137,7.2659483,5507.837,18199.754,13246.286,662.7986,105.4382,-47.04114
2,0,0,0,1.0450873e+10,1.4200479e+07,6.0757877e+10,6.2827155e+11,237.44754,113.31785,0.025947263,0.023352195,0.036057796,669.2213,4.6231956,31.591166,7.6659236,5774.752,18144.912,12402.372,79.71858,218.83496,-207.50134
3,0,0,0,0.0,0.0,7.147291e+10,2.1761774e+11,223.57996,125.66226,0.0,0.017447824,0.0,467.51306,6.6066284,9.397382,9.227882,4945.17,18278.926,13101.478,-773.28564,-1.369886,-595.6865
4,0,0,0,0.0,0.0,5.9794903e+10,3.9709147e+11,231.97574,116.79323,0.0,0.02301739,0.0,343.94638,4.9158025,18.760462,7.5256352,5159.3335,18136.205,13141.642,417.92737,-55.420044,-566.8915
5,0,0,0,0.0,2.1461138e+07,2.8066157e+10,5.1276336e+11,187.88025,100.63418,0.0,0.012798198,0.0,289.11893,6.6275015,32.20754,21.253508,4449.566,17939.127,13108.966,270.126,172.3243,-18.286919
6,0,0,0,0.0,0.0,3.4032245e+10,2.0405828e+11,163.13599,81.800224,0.0,0.01599233,0.0,204.46263,6.384638,18.356949,8.192592,5539.2344,17976.812,12663.004,6.67876,305.1009,186.20506
7,0,0,0,2.8456684e+07,0.0,3.5395326e+10,1.2089606e+11,183.47224,87.25128,0.01669081,0.021142587,0.0,240.71104,5.364566,7.750837,7.653501,4745.668,18323.643,12862.534,391.5276,-77.32424,602.35583
8,0,0,0,0.0,0.0,3.052645e+10,2.1953498e+11,174.44902,84.35834,0.0,0.020129656,0.0,688.6657,6.700507,17.299395,9.996707,5345.9966,17960.975,12581.571,680.9278,-253.80016,301.39246
9,0,0,0,1.4691434e+09,0.0,3.0494206e+10,1.9464133e+11,164.73701,80.81378,0.0035458272,0.01898021,0.0,325.5586,6.2056212,17.749039,8.70355,4376.1074,18250.36,13028.947,127.06401,101.85189,-468.35843
10,0,0,0,0.0,0.0,3.0656532e+10,1.2240528e+11,157.60774,76.798386,0.0,0.017685179,0.0,118.264114,5.6607943,11.28477,6.6757393,4794.7065,18420.617,13145.241,-353.82242,349.00845,81.30983
11,0,0,0,7.4471255e+09,2.6067478e+06,2.447719e+10,2.8085256e+11,165.26875,84.077156,0.022986138,0.012602613,0.7025793,1103.5825,9.644214,25.705019,11.437612,5636.984,18179.86,12786.698,318.17926,84.74178,-246.89488
12,0,0,0,0.0,0.0,1.9418749e+10,1.3663058e+11,152.15755,74.12801,0.0,0.016402712,0.0,135.826,5.2412124,13.491516,9.30906,4898.753,18542.83,13117.716,-414.8211,244.7464,-282.4837
13,0,0,0,0.0,0.0,1.7649471e+10,1.8053156e+11,145.08022,73.32648,0.0,0.015745735,0.0,151.97911,5.2335715,22.417477,7.144218,4876.2656,18016.215,13511.48,725.8052,-7.437625,426.62146
14,0,0,0,1.8784702e+10,1.2602165e+08,1.6006722e+10,1.3876935e+11,158.6433,80.718285,0.028126437,0.015372218,0.39664105,401.76282,7.406071,11.920152,10.434042,5768.764,18237.557,12339.533,65.008835,119.42903,-324.46762
