model,simulation,distance_sigma,param_value,rmse,bias,pearson_r
nf_halo_omega,LH_122,6.860903355200048,0.107,1.9248829497144764,1.8071491650234346,0.6952530273457151
nf_halo_omega,LH_296,3.8230616313802437,0.221,1.9431852974347443,1.8526137302716645,0.8124480660241987
nf_halo_omega,LH_299,6.3599259481139745,0.1258,1.8794670274988312,1.7741696517814658,0.7695448598344701
nf_halo_omega,LH_306,6.093448603919255,0.1358,1.3824444776777534,1.222988437725253,0.8036620650943903
nf_halo_omega,LH_31,1.751644409173291,0.4302,0.7404195348117797,0.6245329856441435,0.9022101670683816
nf_halo_omega,LH_318,5.1128119772826865,0.1726,2.0660290497619616,1.883194746304968,0.7827133120377553
nf_halo_omega,LH_354,0.646651688579186,0.3402,0.7283094577398942,0.4592744458538668,0.8778627821303812
nf_halo_omega,LH_364,3.471311537043214,0.2342,0.8929210319047833,0.7466322069537592,0.9303232205245403
nf_halo_omega,LH_388,6.551789635934172,0.1186,2.238904081947978,2.1677527186743757,0.6323831616079619
nf_halo_omega,LH_493,0.7496895950011447,0.3926,0.3117311133370647,-0.11691272199527906,0.9485482813468445
nf_halo_omega,LH_616,1.8902126281545446,0.4354,0.3984007182734105,-0.210953758706264,0.9501388705913373
nf_halo_omega,LH_64,1.947061128249418,0.2914,1.3634760326224136,1.299860327290731,0.8924338563160789
nf_halo_omega,LH_677,5.7523576033500134,0.1486,2.1945930119034984,2.122340250337174,0.7856092979606165
nf_halo_omega,LH_728,6.882221542735624,0.1062,1.5419348084321303,1.3448866937526909,0.735815161641341
nf_halo_omega,LH_75,6.637062386076482,0.1154,1.3036630253085695,1.1848225005054092,0.7951598855829412
nf_halo_omega,LH_759,3.311425130526382,0.2402,1.4243855014361055,1.3526402550334156,0.8906016174986454
nf_halo_omega,LH_817,0.827856282631596,0.3334,0.9079016967794513,0.8370796437371482,0.896458823719676
nf_halo_omega,LH_835,5.1661074461216305,0.1706,1.7193981225007091,1.6052843178348382,0.8296922571286186
nf_halo_omega,LH_845,2.657667379435337,0.4642,0.9360533012107285,0.8159106472408977,0.9028205009578563
nf_halo_omega,LH_970,0.5720380322046639,0.343,0.8792666360120921,0.7485465274575299,0.890005212104468
nf_halo_sigma8,LH_122,0.10187271224031927,0.7446,0.8927785757998594,-0.6221687852814679,0.8048443730714911
nf_halo_sigma8,LH_296,0.954760535647639,0.6486,0.7696534849666666,0.5597916404980282,0.8034451152583775
nf_halo_sigma8,LH_299,1.4439864676854457,0.9186,0.8177397935625957,-0.6614317609365666,0.865938278053372
nf_halo_sigma8,LH_306,0.7296929155818158,0.8382,1.3220611374399802,-1.136876251620063,0.7742362542170987
nf_halo_sigma8,LH_31,1.1099387368509128,0.881,0.6735926199159167,0.552353319849121,0.9096312440725495
nf_halo_sigma8,LH_318,0.3210175001991428,0.7922,0.435938216643683,-0.11945958885370628,0.9610802121483321
nf_halo_sigma8,LH_354,0.30680270314235375,0.7906,0.422112832616733,-0.04802243886773953,0.9465462632446892
nf_halo_sigma8,LH_364,0.7948440687587666,0.6666,0.9518008958809606,-0.21720347327822975,0.3736735538874906
nf_halo_sigma8,LH_388,0.7735218731735829,0.669,0.5119925837189429,-0.1272924124096691,0.7428173035670993
nf_halo_sigma8,LH_493,1.2485330081546016,0.8966,0.27282761586122645,-0.055818976758890096,0.9562438337410447
nf_halo_sigma8,LH_616,0.45961177150283167,0.8078,0.5180936490027103,-0.2523236951127564,0.920692031793677
nf_halo_sigma8,LH_64,0.21085282300903108,0.7798,0.4203710700221325,0.3280548503088156,0.9445251299423354
nf_halo_sigma8,LH_677,2.133404124939695,0.9962,0.30294138399834725,0.11474885492470768,0.9413796346882389
nf_halo_sigma8,LH_728,0.4785648342452184,0.7022,1.2522005810420709,-0.8842036680753458,0.6089747775214068
nf_halo_sigma8,LH_75,0.07225855170534125,0.7642,1.4210984182171975,-1.2354951538091343,0.6482814473094466
nf_halo_sigma8,LH_759,0.3826149541118957,0.713,0.5101129198749849,0.014976811107189113,0.8035440498843924
nf_halo_sigma8,LH_817,0.5887295114353311,0.6898,0.7250668630721647,0.5913877907417849,0.8416599186973349
nf_halo_sigma8,LH_835,0.3139101016707483,0.7914,0.7238637166521052,-0.4790298482406295,0.8538199564706547
nf_halo_sigma8,LH_845,0.6526960981908799,0.6826,0.8319383046128725,0.6124880688349288,0.8777441762043618
nf_halo_sigma8,LH_970,0.6941559229398452,0.8342,0.4158440359994188,0.2904333837600088,0.9490012563197643
nf_halo_asn1,LH_122,0.41985953032744316,1.11265,0.43914458059043676,-0.21987522438767698,0.9342964903735308
nf_halo_asn1,LH_296,25.69240706400955,3.99446,3.0084935902514665,2.8804286049901733,0.8576641334061207
nf_halo_asn1,LH_299,1.9174722885287174,0.94737,0.4089654070921736,0.16693564432525407,0.9075704330691676
nf_halo_asn1,LH_306,7.852197774002395,0.2924,0.6392607988962019,0.4309881829362452,0.8827647550571646
nf_halo_asn1,LH_31,23.740019473196202,3.77899,3.0508657932754804,2.956389317761429,0.8194924661243216
nf_halo_asn1,LH_318,25.39257643617266,3.96137,2.8168887371206237,2.5913777115639407,0.8164557481174258
nf_halo_asn1,LH_354,6.714369687785905,1.9,1.5704088565095324,1.4057668816173574,0.906624137306554
nf_halo_asn1,LH_364,8.23321554071563,0.25035,0.9741830619029395,0.8191118891143033,0.8489712567991119
nf_halo_asn1,LH_388,11.229316960030168,2.39828,2.6180758663015755,2.5418986090277684,0.8474040177091248
nf_halo_asn1,LH_493,0.2791411969848374,1.12818,0.45239156789406987,0.3222142639606317,0.9418105751320257
nf_halo_asn1,LH_616,4.067844140999233,0.71005,1.3139045787099282,1.1285510249196873,0.7537149011820953
nf_halo_asn1,LH_64,25.59219168945905,3.9834,2.9584411527297063,2.8482893935131512,0.8617584806687896
nf_halo_asn1,LH_677,20.7460625058386,3.44857,2.9464219522423782,2.839116929187795,0.8128849542866691
nf_halo_asn1,LH_728,6.38439591835728,0.45439,0.5672504627708295,0.3181898716018787,0.8966275133115156
nf_halo_asn1,LH_75,8.226963406136983,0.25104,0.5999981030557257,0.36041452351010433,0.8490343320543581
nf_halo_asn1,LH_759,1.6045635241094471,1.33607,0.32824247812546836,-0.1295402040471268,0.9358841786452006
nf_halo_asn1,LH_817,12.596087945310178,2.54912,2.893857980175174,2.8008353767919982,0.8304078167639403
nf_halo_asn1,LH_835,2.2443048888936743,0.9113,0.6254988170519516,0.4623956842655766,0.8960603290638718
nf_halo_asn1,LH_845,20.145495143704153,3.38229,2.7835657342128464,2.592544016333035,0.8187755955780479
nf_halo_asn1,LH_970,25.194139121285154,3.93947,2.8999199881758546,2.7441421840645197,0.8244568263221
nf_halo_aagn1,LH_122,1.2623019587930364,1.61328,0.9078230595146122,-0.7478666526314599,0.8470271497122368
nf_halo_aagn1,LH_296,2.6390365874823547,0.87176,1.6166014516814242,1.5226227450296432,0.7900482740054598
nf_halo_aagn1,LH_299,0.08209338356850315,1.38896,0.6174691816375238,-0.4386418375271766,0.899701652799578
nf_halo_aagn1,LH_306,5.487647183433758,0.33033,0.9215173055054136,0.8051007344086639,0.9170647917831262
nf_halo_aagn1,LH_31,2.7021718536320267,0.85976,1.7937947434703092,1.7245353781141717,0.7554995017389838
nf_halo_aagn1,LH_318,13.38637756840169,3.91768,2.5865000721602396,2.3732229603598323,0.9006940968413913
nf_halo_aagn1,LH_354,5.59045244181414,0.31079,1.9790760865878674,1.8369932551854002,0.7508299913126799
nf_halo_aagn1,LH_364,1.6100895874080778,1.06733,0.5570742929635053,0.24570388315041133,0.9047928500636154
nf_halo_aagn1,LH_388,5.357693760609017,0.35503,1.6430086758685372,1.581007835769778,0.8026623967680542
nf_halo_aagn1,LH_493,0.0384949747773704,1.36604,0.4947646470822631,0.32657951674458646,0.9265584285913461
nf_halo_aagn1,LH_616,0.8107445052314398,1.21926,0.6955182949196076,0.4232620018126606,0.9006465342711594
nf_halo_aagn1,LH_64,4.7781470925028895,2.28153,1.3515953852108757,1.2858284583458115,0.9279268832529072
nf_halo_aagn1,LH_677,5.712619181813756,0.28757,1.969615592501433,1.9063354624418907,0.7787929097138051
nf_halo_aagn1,LH_728,3.0518710778054854,1.95342,0.9864142357194625,-0.8424943581084332,0.9275466563818171
nf_halo_aagn1,LH_75,3.9734004375556697,0.61814,0.462503018026705,0.18669266214098942,0.8744964822540701
nf_halo_aagn1,LH_759,6.486797845400176,2.60629,1.4576663565097434,1.3436120120633215,0.9057819355578864
nf_halo_aagn1,LH_817,3.363408541106257,0.73408,1.7839354343005032,1.7196395070846002,0.7901912728022663
nf_halo_aagn1,LH_835,0.5201995179254344,1.47223,0.5607317728692929,-0.4406071837817518,0.9403673235272779
nf_halo_aagn1,LH_845,7.88419173617958,2.87189,1.9209803331550543,1.7772049357140927,0.9260363743815856
nf_halo_aagn1,LH_970,0.28749344944210214,1.428,0.6876674158134912,0.5750270971858457,0.920616172537418
