subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,5.952985e+12,4.297608e+09,2.6119751e+11,4.8786005e+13,604.4123,341.30234,0.0064537902,0.016807765,2.4228578,7039.5024,28.033146,287.69443,248.03049,642.9762,17490.152,8952.657,-4.9654107,-31.415543,0.1849637
1,0,0,0,7.2419174e+09,1.5976827e+07,7.877935e+09,2.2164305e+11,150.80168,79.34474,0.017683093,0.011210117,0.0030843692,244.46945,7.4438906,21.48094,16.71754,1001.9906,18116.496,9398.993,118.31277,-13.555707,-26.232653
2,0,0,0,1.0770442e+10,1.1081353e+08,5.0024356e+09,2.5653584e+11,156.64449,92.35768,0.006233278,0.007833151,0.01390034,621.9363,7.69311,22.990557,27.727537,940.9914,17451.707,8901.238,313.453,382.3526,712.57983
3,0,0,0,2.7232973e+09,1.1300188e+06,5.625225e+09,1.7218476e+11,131.33371,71.77737,0.019578977,0.008114731,0.04602924,468.4821,8.689286,21.608583,18.987675,991.5408,17743.098,9156.224,-151.0005,-342.58167,-560.4787
4,0,0,0,1.4066895e+10,3.448329e+07,2.0395551e+09,1.5946383e+11,122.37393,63.913876,0.0070501463,0.0067479843,0.32553807,118.84599,5.057513,25.41993,9.029671,24933.51,17216.84,8410.029,415.56912,-162.45901,484.63144
5,0,0,0,0.0,0.0,5.1500467e+09,2.0072591e+10,119.895035,61.4363,0.0,0.014250937,0.0,37.97908,3.6172893,3.7060754,4.629703,661.8956,17483.9,8967.508,428.25323,-556.0252,-347.54044
6,0,0,0,2.5940134e+09,0.0,2.9525844e+09,9.936399e+10,109.91374,54.739014,0.012933608,0.008190133,0.0,134.78157,5.993601,18.334274,14.487764,1085.4327,18086.545,9198.539,-19.313828,269.37366,82.74052
7,0,0,0,1.9680795e+10,1.9667922e+07,6.739147e+08,1.20698765e+11,116.00741,64.42749,0.0026027856,0.0033149356,0.22421965,1006.63763,10.117366,19.476076,20.860477,436.45596,17459.426,8514.291,705.5386,288.9262,337.53198
8,0,0,0,0.0,0.0,2.7031555e+09,9.0421764e+10,107.83313,55.65914,0.0,0.0074739335,0.0,73.48132,6.2249885,16.761251,16.83541,578.6607,17923.863,9587.886,-50.071686,-182.38522,-352.80807
9,0,0,0,2.51575e+09,0.0,1.603151e+09,1.2823554e+11,109.647194,55.237404,0.008787909,0.005641096,0.017990835,282.10095,9.377874,25.25434,16.221828,702.6786,17534.732,8217.908,163.46767,176.83012,-69.574005
10,0,0,0,0.0,0.0,3.117326e+09,2.9653504e+10,105.49405,57.972054,0.0,0.009698817,0.0,87.93848,5.8898616,6.4295516,8.331558,678.4088,17429.959,8933.272,-740.7933,651.00336,-471.7267
11,0,0,0,3.6683526e+08,0.0,1.967407e+09,7.9996355e+10,105.10497,53.496258,0.016925864,0.006588818,0.0,93.73718,7.138381,16.900133,12.119243,209.13979,17591.785,8682.852,367.20837,175.39935,451.7105
12,0,0,0,0.0,0.0,2.6186186e+09,3.7394637e+10,103.2841,58.234444,0.0,0.0077543953,0.0,71.002365,6.5575647,8.090064,10.016046,720.6694,17532.896,9061.223,-863.83527,359.9457,-4.2412124
13,0,0,0,6.0833925e+09,1.9655908e+07,8.778568e+08,8.538966e+10,102.40718,54.316364,0.005023035,0.005179109,0.047983047,292.67148,5.913112,18.282705,11.173978,1012.4827,17184.496,9042.167,-483.57098,636.844,-243.71327
14,0,0,0,0.0,0.0,2.1389562e+09,3.2632852e+10,98.16843,47.838028,0.0,0.007468917,0.0,22.860632,5.0946712,7.6699405,6.844025,792.6523,17651.46,9134.947,81.158554,512.5799,470.7531
