subhalo_index,halo_id,central_subhalo_index,is_central,Mg,MBH,Mstar,Mt,Vmax,sigma_v,Zg,Zstar,SFR,J,Rstar,Rt,Rmax,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0,0,1,1.1063746e+13,6.7072877e+08,6.7627344e+10,5.0787862e+13,570.6759,320.5642,0.002352272,0.005889607,0.28577015,24430.291,20.71514,338.8435,412.4574,9612.499,22306.885,15359.841,-108.2843,73.60955,-79.85522
1,0,0,0,3.523667e+10,6.0654736e+07,5.2070733e+09,7.458257e+11,212.53885,130.30887,0.0023093065,0.0028164494,0.0,942.12616,10.854322,35.61857,39.70437,9696.994,22728.432,15271.278,-440.67572,36.63882,-1.2078485
2,0,0,0,2.1254309e+09,0.0,4.420574e+09,4.297602e+11,179.57033,107.499504,0.010375869,0.0028949324,0.08890328,188.32045,10.902984,28.762667,36.75553,9825.543,22829.76,15135.741,3.9897137,274.28802,-146.73691
3,0,0,0,4.08208e+09,641962.2,1.1346863e+09,3.7859764e+11,142.36978,84.4018,0.0024941047,0.001490858,0.041189894,734.6426,8.070611,41.907337,29.435799,9131.906,22297.596,15732.406,-892.9207,-16.523,-36.311844
4,0,0,0,0.0,500000.53,3.9689682e+09,1.911463e+11,134.42413,72.179825,0.0,0.0028605436,0.0,83.75669,10.114869,22.809145,22.864342,9206.182,22364.945,15436.999,-216.231,33.17576,-0.7396745
5,0,0,0,4.551646e+09,4.0574032e+06,3.1483366e+08,2.1233965e+11,124.68068,68.905205,0.0011019317,0.0011381679,0.022578634,169.52867,6.5514784,31.397957,14.758787,10166.259,22456.074,15576.913,-822.65826,289.54065,21.069538
6,0,0,0,1.0367543e+10,3.6698025e+06,1.7649336e+08,1.8627946e+11,116.521614,62.482815,0.0004671015,0.00091766013,0.040909365,217.09659,6.28915,31.991598,20.928976,10096.565,21685.86,15297.8,-308.5608,671.91223,-320.56604
7,0,0,0,8.5892634e+08,0.0,7.259021e+08,1.5067008e+11,115.84088,66.19993,0.001871763,0.0015128779,0.0,349.65536,7.889676,24.544716,22.482603,9915.792,21905.19,15414.5205,-360.44373,-280.9811,-320.57596
8,0,0,0,0.0,0.0,2.6131653e+09,3.441893e+10,109.53889,72.35874,0.0,0.0036538646,0.0,134.92355,5.8212056,6.9196873,9.405094,9604.458,22322.676,15385.871,89.081726,-698.56055,596.3847
9,0,0,0,0.0,0.0,2.4268613e+08,6.5216344e+10,89.48353,46.35268,0.0,0.0006814701,0.0,69.54113,9.623045,17.517597,17.52205,9217.712,22509.477,15741.069,350.93347,7.9574313,-153.7937
10,0,0,0,0.0,0.0,1.4934024e+08,6.7438625e+10,89.19893,49.303333,0.0,0.0005690653,0.0,196.28238,8.159921,18.893528,23.936214,9235.898,22208.32,15068.507,-75.435104,336.53568,-744.93604
11,0,0,0,0.0,0.0,1.9036696e+08,6.332515e+10,97.13086,52.983868,0.0,0.00082553155,0.0,123.18484,8.505875,14.453377,14.453403,9084.523,22286.434,15538.632,-558.5648,65.61549,-394.1625
12,0,0,0,0.0,0.0,1.3897875e+08,6.4363467e+10,86.94325,44.05778,0.0,0.00084721844,0.0,114.67699,6.45593,20.221695,9.702784,9301.064,22517.904,14857.179,-12.053195,381.5622,-516.64124
16,0,0,0,0.0,0.0,3.9089107e+08,3.0630205e+10,90.250175,51.670307,0.0,0.001678106,0.0,63.873966,7.9511056,8.8677635,11.306129,9624.584,22200.695,15352.2,-744.20374,179.54326,-623.42694
18,0,0,0,0.0,0.0,6.685564e+08,1.3608803e+10,67.518875,36.38442,0.0,0.0029016316,0.0,16.037745,6.7823005,7.248968,11.5171175,9627.853,22162.918,15360.727,207.23413,692.0056,-340.0611
28,0,0,0,0.0,0.0,4.244134e+08,9.823119e+09,71.463974,42.32,0.0,0.0026209312,0.0,18.717302,5.0477514,4.9838314,6.53089,9624.273,22308.889,15416.108,-128.49474,981.4357,-319.63052
29,0,0,0,0.0,0.0,1.557358e+08,1.8544509e+10,64.06169,35.55164,0.0,0.0008396388,0.0,31.995323,8.161269,9.882339,10.041504,9574.89,22566.473,15149.745,438.2878,-129.6938,387.80533
33,0,0,0,0.0,0.0,1.6916581e+08,1.3926692e+10,60.329937,32.681034,0.0,0.0010701644,0.0,47.83336,7.4681926,8.723161,12.164414,9864.181,22253.365,15418.684,464.56693,269.99237,76.11535
36,0,0,0,0.0,0.0,2.1485266e+08,1.1043797e+10,67.07295,38.498875,0.0,0.002260266,0.0,74.577065,6.31664,5.5253963,7.156097,9634.368,22399.652,15299.323,194.3402,71.40921,-255.47498
40,0,0,0,0.0,0.0,2.0481837e+08,9.875951e+09,51.202385,26.853699,0.0,0.0021607967,0.0,44.23326,8.399316,8.875828,13.246901,9651.992,22607.244,15179.7,227.14005,280.4099,-192.6438
284,1,284,1,8.426705e+12,1.0042146e+09,1.4810256e+11,3.959804e+13,633.93286,327.25452,0.0041005197,0.009722598,0.0,13015.55,8.163291,228.9029,139.29431,3311.3025,3682.881,24598.43,2.6736424,-23.582403,-47.60874
285,1,284,0,9.836336e+10,1.8760752e+07,3.2412334e+09,7.391101e+11,218.84937,126.51438,0.0018481064,0.0028729266,1.1766791,837.3076,6.9226365,33.389816,31.474672,3152.6113,3420.442,24535.658,368.15704,-583.9415,-341.89066
286,1,284,0,3.0758439e+10,0.0,6.83408e+08,3.0863557e+11,137.05653,80.22693,0.0009943955,0.0011232622,0.105829306,1304.0737,10.05942,36.677654,19.513226,3760.3745,3909.89,24273.34,-445.8067,-443.27402,289.43655
287,1,284,0,9.670823e+09,2.992353e+06,3.1193357e+08,1.962066e+11,122.9656,69.86726,0.00096739136,0.0011009957,0.0,331.31824,7.4709587,28.580816,18.26422,3932.7246,4027.2612,24315.967,-527.48376,-315.68542,313.93066
288,1,284,0,0.0,0.0,1.363557e+09,1.770785e+11,137.47432,75.19797,0.0,0.0018647632,0.0,166.29431,9.45833,20.541372,15.731358,3616.236,3843.9387,24442.701,-439.7826,-149.22757,-188.68732
289,1,284,0,4.3791964e+09,2.065621e+06,3.122283e+08,1.6340048e+11,125.82724,69.07363,0.0008496537,0.0009434298,0.015669398,319.39398,7.0798454,22.895195,14.549159,3198.6077,3418.713,24245.668,207.46146,109.69882,677.71277
290,1,284,0,0.0,0.0,7.068292e+08,1.5673896e+11,137.29045,71.47094,0.0,0.0014572031,0.0,151.30022,8.182143,17.920914,17.940937,2868.465,3212.4333,24579.816,171.14058,48.493954,-290.29575
292,1,284,0,4.7653558e+08,0.0,7.773648e+08,6.97691e+10,110.60877,61.517773,0.003343314,0.0015891969,0.006642035,41.558254,6.774547,12.885706,17.64865,3071.398,3345.4546,24544.393,239.8971,300.11804,374.51776
302,1,284,0,0.0,0.0,2.0790181e+08,1.7438861e+10,65.49665,31.822481,0.0,0.0013653891,0.0,41.922035,7.958558,9.09552,9.344344,3458.454,3595.439,24177.076,-136.48654,256.85602,-4.2231436
467,2,467,1,8.446494e+12,6.5671066e+08,1.6433827e+11,3.7716083e+13,647.5322,327.63684,0.0049708555,0.009813145,27.331625,15684.78,21.937384,197.06647,149.98463,6566.1997,24338.83,14295.685,-63.955013,-158.87915,51.519577
468,2,467,0,2.5566534e+10,3.6358788e+06,6.9825197e+08,3.6531978e+11,141.53491,81.29147,0.0014371709,0.0015841379,0.014285358,423.01328,7.006636,40.024513,32.9717,6279.029,24368.71,13878.654,366.3878,189.85463,524.4825
469,2,467,0,6.9668997e+09,5.408613e+06,2.5020539e+08,2.185248e+11,112.47691,65.2402,0.0006709794,0.0008775683,0.01056353,451.95728,8.043774,38.135757,31.864565,6575.462,24357.746,14807.118,476.83865,-395.79898,-226.6237
470,2,467,0,0.0,0.0,6.3281075e+08,9.761656e+10,109.1144,57.954826,0.0,0.0012982178,0.0,137.93141,8.5889635,17.92249,14.518826,6766.859,23978.322,14129.807,-189.40427,446.08374,244.82613
471,2,467,0,0.0,0.0,2.0979944e+08,8.350412e+10,95.99341,49.234676,0.0,0.0010478313,0.0,63.38929,7.807706,19.6456,20.695936,6422.1265,24433.65,13604.507,25.99227,167.45688,391.96002
473,2,467,0,0.0,0.0,1.3241813e+08,6.095158e+10,93.85405,47.62415,0.0,0.0010180259,0.0,51.087276,8.368469,15.837395,13.186955,6476.882,24381.81,13485.466,-91.19754,34.90078,393.1477
474,2,467,0,0.0,0.0,1.3221959e+08,4.1404797e+10,77.88579,38.580982,0.0,0.0009656311,0.0,137.4242,7.9805865,15.280998,12.523427,6023.4375,24598.154,14205.146,-34.28496,-638.8636,-211.61201
480,2,467,0,4.714961e+09,0.0,6.09407e+08,5.324368e+09,73.499596,41.700035,0.012798367,0.010245119,6.5731616,124.74313,2.5815368,2.2041194,2.5840185,6578.6006,24331.172,14318.002,-287.74948,-457.36346,-233.84082
